FaultName,Name,Distance,Displacement,HorizonName,Uncertainty,ProfilePatterns,Section,Gradients,Fault_Size
Sc_8_F10_F8,f4,1215,0,Ka,Secured,Positive Skewed,Lower,0,Medium
Sc_1_F_9,f5,0,0,N,Proven,Trapezoid,Upper,0.632570659,Medium
Sc_1_F_9,f5,148.6,94,F,Proven,Trapezoid,Upper,0.043048469,Medium
Sc_1_F_9,f5,462.2,107.5,Zo2,Proven,Trapezoid,Upper,-0.07295174,Medium
Sc_1_F_9,f5,640.4,94.5,Zo8,Proven,Trapezoid,Upper,-0.076504481,Medium
Sc_1_F_9,f5,1265.2,46.7,Gu,Proven,Trapezoid,Mid,0.009820913,Medium
Sc_1_F_9,f5,1438.3,48.4,Ma,Secured,Trapezoid,Mid,-0.163141994,Medium
Sc_1_F_9,f5,1570.7,26.8,Hu,Secured,Trapezoid,Lower,0.113532691,Medium
Sc_1_F_9,f5,1768,49.2,Ka,Assumed,Trapezoid,Lower,0.121973929,Medium
Sc_1_F_9,f5,1982.8,75.4,Er,Assumed,Trapezoid,Lower,-3.927083333,Medium
Sc_1_F_9,f5,2002,0,Pr,Secured,Trapezoid,Lower,0,Medium
Sc_1_F_28,f6,0,0,F-2,Proven,Negative Skewed,Upper,0.397524072,Medium
Sc_1_F_28,f6,72.7,28.9,Zo2,Secured,Negative Skewed,Upper,-0.042635659,Medium
Sc_1_F_28,f6,201.7,23.4,Zo8,Secured,Negative Skewed,Upper,-0.0123199,Medium
Sc_1_F_28,f6,680.6,17.5,Gu,Secured,Negative Skewed,Upper,0.065843621,Medium
Sc_1_F_28,f6,802.1,25.5,Ma,Secured,Negative Skewed,Upper,0.057309942,Medium
Sc_1_F_28,f6,887.6,30.4,Hu,Secured,Negative Skewed,Mid,0.051311953,Medium
Sc_1_F_28,f6,1059.1,39.2,Ka,Secured,Negative Skewed,Mid,-0.065294535,Medium
Sc_1_F_28,f6,1200,30,Er,Assumed,Negative Skewed,Lower,-0.1,Medium
Sc_1_F_28,f6,1300,20,Pr,Assumed,Negative Skewed,Lower,-0.1,Medium
Sc_1_F_28,f6,1400,10,Di,Assumed,Negative Skewed,Lower,-0.1,Medium
Sc_1_F_28,f6,1500,0,So,Assumed,Negative Skewed,Lower,0,Medium
Sc_8_F_2,f7,0,0,Hu-1,Secured,Overlap,Upper,0.291666667,Small
Sc_8_F_2,f7,7.2,2.1,Hu,Secured,Overlap,Upper,0.457085828,Small
Sc_8_F_2,f7,157.5,70.8,Ka,Secured,Overlap,Mid,-0.254660849,Small
Sc_8_F_2,f7,409.6,6.6,Er,Secured,Overlap,Mid,0.007681229,Small
Sc_8_F_2,f7,617.9,8.2,Pr,Secured,Overlap,Lower,0.425503356,Small
Sc_8_F_2,f7,692.4,39.9,Di,Secured,Overlap,Lower,0.09939759,Small
Sc_8_F_2,f7,792,49.8,So,Secured,Overlap,Lower,-6.225,Small
Sc_8_F_2,f7,800,0,Pl,Secured,Overlap,Lower,0,Small
Sc_8_F_3,f8,0,0,Kr-2,Secured,Triangle,Upper,1.468571429,Small
Sc_8_F_3,f8,87.5,128.5,Mg,Secured,Triangle,Mid,-0.292674731,Small
Sc_8_F_3,f8,385.1,41.4,Sb,Secured,Triangle,Lower,-8.448979592,Small
Sc_8_F_3,f8,390,0,Hf,Assumed,Triangle,Lower,0,Small
Sc_8_F_4,f9,0,0,Kr-2,Secured,Trapezoid,Upper,0.346101603,Medium
Sc_8_F_4,f9,368.1,127.4,Mg,Secured,Trapezoid,Mid,-0.009999401,Medium
Sc_8_F_4,f9,2038.2,110.7,Sb,Secured,Trapezoid,Lower,-16.27941176,Medium
Sc_8_F_4,f9,2045,0,Hf,Secured,Trapezoid,Lower,0,Medium
Sc_8_F_5,f10,0,0,Zo8,Proven,Trapezoid,Upper,0.228187919,Small
Sc_8_F_5,f10,29.8,6.8,La,Secured,Trapezoid,Upper,0.025275899,Small
Sc_8_F_5,f10,310.7,13.9,Gu,Secured,Trapezoid,Lower,-3.23255814,Small
Sc_8_F_5,f10,315,0,Ma,Assumed,Trapezoid,Lower,0,Small
Sc_8_F_6,f11,0,0,Zo2,Assumed,Trapezoid,Upper,1.649805447,Small
Sc_8_F_6,f11,25.7,42.4,Zo8,Secured,Trapezoid,Mid,-0.009452412,Small
Sc_8_F_6,f11,332.5,39.5,La,Secured,Trapezoid,Lower,-4.157894737,Small
Sc_8_F_6,f11,342,0,Gu,Secured,Trapezoid,Lower,0,Small
Sc_8_F_7,f12,0,0,Zo2,Proven,Overlap,Upper,0.176026823,Small
Sc_8_F_7,f12,238.6,42,Zo8,Proven,Overlap,Upper,0.103960396,Small
Sc_8_F_7,f12,561.8,75.6,La,Secured,Overlap,Mid,-0.292942743,Small
Sc_8_F_7,f12,787.1,9.6,Gu,Assumed,Overlap,Lower,0.156521739,Small
Sc_8_F_7,f12,856.1,20.4,Ma,Secured,Overlap,Lower,0.161616162,Small
Sc_8_F_7,f12,945.2,34.8,Hu,Assumed,Overlap,Lower,-2.351351351,Small
Sc_8_F_7,f12,960,0,Ka,Assumed,Overlap,Lower,0,Medium
Sc_8_F_8a,f13,0,0,Gu,Proven,Positive Skewed,Upper,2.862931034,Medium
Sc_8_F_8a,f13,116,332.1,Zo2,Proven,Positive Skewed,Mid,0.816981132,Medium
Sc_8_F_8a,f13,275,462,Zo8,Proven,Positive Skewed,Mid,-0.520448954,Medium
Sc_8_F_8a,f13,925.4,123.5,Gu,Proven,Positive Skewed,Lower,0.014115899,Medium
Sc_8_F_8a,f13,1060,125.4,Ma,Secured,Positive Skewed,Lower,-0.561842105,Medium
Sc_8_F_8a,f13,1212,40,Hu,Secured,Positive Skewed,Lower,-8,Medium
Sc_8_F_8a,f13,1217,0,Ka,Secured,Positive Skewed,Lower,0,Medium
Sc_8_F_9,f14,0,0,F,Proven,Trapezoid,Upper,0.141675978,Medium
Sc_8_F_9,f14,447.5,63.4,Zo2,Proven,Trapezoid,Upper,-0.00240616,Medium
Sc_8_F_9,f14,863.1,62.4,Zo8,Proven,Trapezoid,Mid,-0.063065977,Medium
Sc_8_F_9,f14,1172.3,42.9,La,Proven,Trapezoid,Lower,-0.14911366,Medium
Sc_8_F_9,f14,1460,0,Gu,Secured,Trapezoid,Lower,0,Medium
Sc_8_F_10b,f15,0,0,La,Proven,Trapezoid,Upper,0.459183673,Small
Sc_8_F_10b,f15,98,45,Gu,Proven,Trapezoid,Upper,0.027777778,Small
Sc_8_F_10b,f15,278,50,Ma,Proven,Trapezoid,Mid,0.02247191,Small
Sc_8_F_10b,f15,456,54,Hu,Secured,Trapezoid,Mid,-0.311688312,Small
Sc_8_F_10b,f15,610,6,Ka,Assumed,Trapezoid,Lower,-0.054545455,Small
Sc_8_F_10b,f15,720,0,Er,Assumed,Trapezoid,Lower,0,Small
Sc_8_F_11,f16,0,0,Ma,Secured,Trapezoid,Upper,0.416833667,Small
Sc_8_F_11,f16,49.9,20.8,Hu,Secured,Trapezoid,Mid,-0.025,Small
Sc_8_F_11,f16,189.9,17.3,Ka,Assumed,Trapezoid,Mid,-0.02584493,Small
Sc_8_F_11,f16,441.4,10.8,Er,Assumed,Trapezoid,Lower,-0.187175043,Small
Sc_8_F_11,f16,499.1,0,Pr,Assumed,Trapezoid,Lower,0,Small
Sc_8_F_12,f17,0,0,Gu,Assumed,Triangle,Upper,0.128664495,Small
Sc_8_F_12,f17,61.4,7.9,Ma,Assumed,Triangle,Mid,0.284296029,Small
Sc_8_F_12,f17,172.2,39.4,Hu,Assumed,Triangle,Mid,-2.213483146,Small
Sc_8_F_12,f17,190,0,Ka,Assumed,Triangle,Lower,0,Small
Sc_8_F_15,f18,0,0,F-2,Assumed,Triangle,Upper,0.157988694,Small
Sc_8_F_15,f18,336.1,53.1,Zo2,Assumed,Triangle,Mid,-0.129367328,Small
Sc_8_F_15,f18,547.9,25.7,Zo8,Assumed,Triangle,Lower,-3.61971831,Small
Sc_8_F_15,f18,555,0,La,Assumed,Triangle,Lower,0,Small
Sc_8_F_10c,f19,0,0,Gu,Secured,Triangle,Upper,1.826086957,Small
Sc_8_F_10c,f19,11.5,21,Ma,Secured,Triangle,Upper,0.230101302,Small
Sc_8_F_10c,f19,149.7,52.8,Hu,Assumed,Triangle,Mid,-0.320027529,Small
Sc_8_F_10c,f19,295,6.3,Ka,Assumed,Triangle,Lower,-0.091703057,Small
Sc_8_F_10c,f19,363.7,0,Er,Assumed,Triangle,Lower,0,Small
Sc_1_F_9a,f20,120,0,N,Assumed,Positive Skewed,Upper,3.286713287,Medium
Sc_1_F_9a,f20,148.6,94,F,Secured,Positive Skewed,Upper,0.043048469,Medium
Sc_1_F_9a,f20,462.2,107.5,Zo2,Secured,Positive Skewed,Mid,-0.07295174,Medium
Sc_1_F_9a,f20,640.4,94.5,Zo8,Secured,Positive Skewed,Mid,-0.076504481,Medium
Sc_1_F_9a,f20,1265.2,46.7,Gu,Secured,Positive Skewed,Lower,0.009820913,Medium
Sc_1_F_9a,f20,1438.3,48.4,Ma,Assumed,Positive Skewed,Lower,-0.163141994,Medium
Sc_1_F_9a,f20,1570.7,26.8,Hu,Secured,Positive Skewed,Lower,-0.075012671,Medium
Sc_1_F_9a,f20,1768,12,Ka,Secured,Positive Skewed,Lower,-0.090909091,Medium
Sc_1_F_9a,f20,1900,0,Er,Secured,Positive Skewed,Lower,0,Medium
Sc_4_F_8,f21,0,0,La,Secured,Overlap,Upper,0.498853211,Small
Sc_4_F_8,f21,87.2,43.5,Gu,Secured,Overlap,Mid,-0.312834225,Small
Sc_4_F_8,f21,162,20.1,Ma,Assumed,Overlap,Lower,0.040622299,Small
Sc_4_F_8,f21,277.7,24.8,Hu,Secured,Overlap,Lower,-0.238921002,Small
Sc_4_F_8,f21,381.5,0,Ka,Secured,Overlap,Lower,0,Small
Sc_5_F_8,f22,0,0,La,Proven,Triangle,Upper,0.238640562,Small
Sc_5_F_8,f22,270.7,64.6,Gu,Proven,Triangle,Mid,-0.158238173,Small
Sc_5_F_8,f22,515.9,25.8,Ma,Secured,Triangle,Mid,-0.213938412,Small
Sc_5_F_8,f22,577.6,12.6,Hu,Secured,Triangle,Lower,-0.028432169,Small
Sc_5_F_8,f22,700.7,9.1,Ka,Assumed,Triangle,Lower,-0.402654867,Small
Sc_5_F_8,f22,723.3,0,Er,Assumed,Triangle,Lower,0,Small
Sc_9_F_8,f23,0,0,T,Secured,Negative Skewed,Upper,0.132727273,Medium
Sc_9_F_8,f23,55,7.3,T,Secured,Negative Skewed,Upper,0.06629055,Medium
Sc_9_F_8,f23,196.8,16.7,Q,Secured,Negative Skewed,Upper,0.32176235,Medium
Sc_9_F_8,f23,421.5,89,F,Secured,Negative Skewed,Upper,1.192425793,Medium
Sc_9_F_8,f23,519.2,205.5,Zo2,Assumed,Negative Skewed,Upper,-0.101933216,Medium
Sc_9_F_8,f23,633,193.9,Zo8,Assumed,Negative Skewed,Upper,0.098411798,Medium
Sc_9_F_8,f23,985.6,228.6,Gu,Assumed,Negative Skewed,Mid,0.085898354,Medium
Sc_9_F_8,f23,1125.3,240.6,Ma,Assumed,Negative Skewed,Mid,1.120893561,Medium
Sc_9_F_8,f23,1201.4,325.9,Hu,Assumed,Negative Skewed,Mid,-0.513220851,Medium
Sc_9_F_8,f23,1598.5,122.1,Ka,Assumed,Negative Skewed,Lower,-0.297592998,Medium
Sc_9_F_8,f23,1735.6,81.3,Er,Assumed,Negative Skewed,Lower,-0.291916859,Medium
Sc_9_F_8,f23,1952.1,18.1,Pr,Assumed,Negative Skewed,Lower,-0.220731707,Medium
Sc_9_F_8,f23,2034.1,0,Di,Assumed,Negative Skewed,Lower,0,Medium
Sc_10_F_8,f24,0,0,N,Secured,Negative Skewed,Upper,0.71037182,Medium
Sc_10_F_8,f24,204.4,145.2,F,Secured,Negative Skewed,Upper,0.388429752,Medium
Sc_10_F_8,f24,349.6,201.6,Zo2,Secured,Negative Skewed,Upper,0.263467189,Medium
Sc_10_F_8,f24,451.7,228.5,Zo8,Secured,Negative Skewed,Upper,-0.112284316,Medium
Sc_10_F_8,f24,840,184.9,Gu,Assumed,Negative Skewed,Upper,0.255159475,Medium
Sc_10_F_8,f24,946.6,212.1,Ma,Assumed,Negative Skewed,Mid,0.286821705,Medium
Sc_10_F_8,f24,1036.9,238,Hu,Assumed,Negative Skewed,Mid,0.004827586,Medium
Sc_10_F_8,f24,1326.9,239.4,Ka,Assumed,Negative Skewed,Mid,-0.39809423,Medium
Sc_10_F_8,f24,1515.8,164.2,Er,Assumed,Negative Skewed,Lower,-0.489332416,Medium
Sc_10_F_8,f24,1806.4,22,Pr,Assumed,Negative Skewed,Lower,-0.221997982,Medium
Sc_10_F_8,f24,1905.5,0,Di,Assumed,Negative Skewed,Lower,0,Medium
Sc_12_F_8,f25,0,0,T,Proven,Negative Skewed,Upper,0.156186613,Medium
Sc_12_F_8,f25,147.9,23.1,T,Proven,Negative Skewed,Upper,0.11640625,Medium
Sc_12_F_8,f25,275.9,38,Q,Proven,Negative Skewed,Upper,0.218820351,Medium
Sc_12_F_8,f25,498,86.6,F,Proven,Negative Skewed,Upper,-0.043659044,Medium
Sc_12_F_8,f25,642.3,80.3,Zo2,Secured,Negative Skewed,Upper,0.01494396,Medium
Sc_12_F_8,f25,722.6,81.5,Zo8,Secured,Negative Skewed,Upper,0.079881657,Medium
Sc_12_F_8,f25,925.4,97.7,Gu,Secured,Negative Skewed,Upper,0.405271829,Medium
Sc_12_F_8,f25,986.1,122.3,Ma,Secured,Negative Skewed,Mid,0.3903177,Medium
Sc_12_F_8,f25,1052.2,148.1,Hu,Secured,Negative Skewed,Mid,-0.112903226,Medium
Sc_12_F_8,f25,1170,134.8,Ka,Assumed,Negative Skewed,Lower,-0.298161471,Medium
Sc_12_F_8,f25,1295.1,97.5,Er,Assumed,Negative Skewed,Lower,-0.752895753,Medium
Sc_12_F_8,f25,1424.6,0,Pr,Assumed,Negative Skewed,Lower,0,Medium
Sc_11_F_8,f26,0,0,T,Secured,Positive Skewed,Upper,5.764397906,Medium
Sc_11_F_8,f26,57.3,330.3,Q,Secured,Positive Skewed,Upper,0.043845913,Medium
Sc_11_F_8,f26,376.6,344.3,F,Proven,Positive Skewed,Upper,0.582763338,Medium
Sc_11_F_8,f26,449.7,386.9,Zo2,Proven,Positive Skewed,Mid,-0.267968057,Medium
Sc_11_F_8,f26,900.5,266.1,Zo8,Proven,Positive Skewed,Lower,-0.422798552,Medium
Sc_11_F_8,f26,1066.3,196,Gu,Secured,Positive Skewed,Lower,-0.692899408,Medium
Sc_11_F_8,f26,1235.3,78.9,Ma,Secured,Positive Skewed,Lower,-0.211055276,Medium
Sc_11_F_8,f26,1334.8,57.9,Hu,Secured,Positive Skewed,Lower,-0.25456621,Medium
Sc_11_F_8,f26,1422.4,35.6,Ka,Secured,Positive Skewed,Lower,-0.714859438,Medium
Sc_11_F_8,f26,1472.2,0,Er,Secured,Positive Skewed,Lower,0,Medium
Sc_7_F_8,f27,0,0,Q-1,Proven,Trapezoid,Upper,0.189922481,Medium
Sc_7_F_8,f27,25.8,4.9,N,Proven,Trapezoid,Upper,0.196078431,Medium
Sc_7_F_8,f27,173.7,33.9,F,Proven,Trapezoid,Upper,-0.035553047,Medium
Sc_7_F_8,f27,350.9,27.6,Zo2,Secured,Trapezoid,Upper,0.01010101,Medium
Sc_7_F_8,f27,519.2,29.3,Zo8,Secured,Trapezoid,Mid,-0.013520039,Medium
Sc_7_F_8,f27,933.4,23.7,Gu,Secured,Trapezoid,Lower,-0.126213592,Medium
Sc_7_F_8,f27,1046.7,9.4,Ma,Assumed,Trapezoid,Lower,0.204391892,Medium
Sc_7_F_8,f27,1105.9,21.5,Hu,Assumed,Trapezoid,Lower,-0.220966084,Medium
Sc_7_F_8,f27,1203.2,0,Ka,Assumed,Trapezoid,Lower,0,Medium
Sc_6_F_8,f28,0,0,F-2,Proven,Positive Skewed,Upper,0.102577591,Medium
Sc_6_F_8,f28,190.1,19.5,Zo2,Proven,Positive Skewed,Upper,0.178639542,Medium
Sc_6_F_8,f28,347.4,47.6,Zo8,Proven,Positive Skewed,Upper,0.224951697,Medium
Sc_6_F_8,f28,709.7,129.1,Gu,Proven,Positive Skewed,Mid,-0.343586387,Medium
Sc_6_F_8,f28,862.5,76.6,Ma,Secured,Positive Skewed,Lower,-0.473939394,Medium
Sc_6_F_8,f28,945,37.5,Hu,Secured,Positive Skewed,Lower,-0.041005803,Medium
Sc_6_F_8,f28,1203.5,26.9,Ka,Secured,Positive Skewed,Lower,0.003164557,Medium
Sc_6_F_8,f28,1329.9,27.3,Er,Assumed,Positive Skewed,Lower,-0.175902062,Medium
Sc_6_F_8,f28,1485.1,0,Pr,Assumed,Positive Skewed,Lower,0,Medium
Sc_9_F_8a,f29,0,0,F-2,Proven,Positive Skewed,Upper,2.913157895,Medium
Sc_9_F_8a,f29,114,332.1,Zo2,Proven,Positive Skewed,Upper,0.878015162,Medium
Sc_9_F_8a,f29,259.1,459.5,Zo8,Proven,Positive Skewed,Mid,-0.504277353,Medium
Sc_9_F_8a,f29,925.4,123.5,Gu,Secured,Positive Skewed,Mid,0.015397083,Medium
Sc_9_F_8a,f29,1048.8,125.4,Ma,Secured,Positive Skewed,Lower,-0.611216131,Medium
Sc_9_F_8a,f29,1207.5,28.4,Hu,Secured,Positive Skewed,Lower,-0.302771855,Medium
Sc_9_F_8a,f29,1301.3,0,Ka,Secured,Positive Skewed,Lower,0,Medium
Sc_10_F_8a,f30,0,0,N,Secured,Negative Skewed,Upper,0.71037182,Medium
Sc_10_F_8a,f30,204.4,145.2,F,Secured,Negative Skewed,Upper,0.388429752,Medium
Sc_10_F_8a,f30,349.6,201.6,Zo2,Secured,Negative Skewed,Upper,0.263467189,Medium
Sc_10_F_8a,f30,451.7,228.5,Zo8,Secured,Negative Skewed,Upper,-0.112284316,Medium
Sc_10_F_8a,f30,840,184.9,Gu,Assumed,Negative Skewed,Upper,0.255159475,Medium
Sc_10_F_8a,f30,946.6,212.1,Ma,Assumed,Negative Skewed,Upper,0.286821705,Medium
Sc_10_F_8a,f30,1036.9,238,Hu,Assumed,Negative Skewed,Mid,0.004827586,Medium
Sc_10_F_8a,f30,1326.9,239.4,Ka,Assumed,Negative Skewed,Mid,-0.39809423,Medium
Sc_10_F_8a,f30,1515.8,164.2,Er,Assumed,Negative Skewed,Lower,-0.489332416,Medium
Sc_10_F_8a,f30,1806.4,22,Pr,Assumed,Negative Skewed,Lower,-0.221997982,Medium
Sc_10_F_8a,f30,1905.5,0,Di,Assumed,Negative Skewed,Lower,0,Medium
Sc_12_F_8c,f31,0,0,T,Proven,Negative Skewed,Upper,0.067613252,Medium
Sc_12_F_8c,f31,147.9,10,T,Proven,Negative Skewed,Upper,0.1328125,Medium
Sc_12_F_8c,f31,275.9,27,Q,Proven,Negative Skewed,Upper,0.220621342,Medium
Sc_12_F_8c,f31,498,76,F,Proven,Negative Skewed,Upper,-0.041580042,Medium
Sc_12_F_8c,f31,642.3,70,Zo2,Secured,Negative Skewed,Upper,0.0124533,Medium
Sc_12_F_8c,f31,722.6,71,Zo8,Secured,Negative Skewed,Upper,0.078895464,Medium
Sc_12_F_8c,f31,925.4,87,Gu,Secured,Negative Skewed,Upper,0.411861614,Medium
Sc_12_F_8c,f31,986.1,112,Ma,Secured,Negative Skewed,Mid,0.393343419,Medium
Sc_12_F_8c,f31,1052.2,138,Hu,Secured,Negative Skewed,Mid,-0.118845501,Medium
Sc_12_F_8c,f31,1170,124,Ka,Assumed,Negative Skewed,Lower,-0.3117506,Medium
Sc_12_F_8c,f31,1295.1,85,Er,Assumed,Negative Skewed,Lower,-0.656370656,Medium
Sc_12_F_8c,f31,1424.6,0,Pr,Assumed,Negative Skewed,Lower,0,Medium
Sc_8_F_8d,f32,0,0,F-2,Secured,Positive Skewed,Upper,2.807017544,Medium
Sc_8_F_8d,f32,114,320,Zo2,Proven,Positive Skewed,Mid,0.689179876,Medium
Sc_8_F_8d,f32,259.1,420,Zo8,Secured,Positive Skewed,Mid,-0.450247636,Medium
Sc_8_F_8d,f32,925.4,120,Gu,Secured,Positive Skewed,Lower,-0.364667747,Medium
Sc_8_F_8d,f32,1048.8,75,Ma,Secured,Positive Skewed,Lower,-0.252047889,Medium
Sc_8_F_8d,f32,1207.5,35,Hu,Secured,Positive Skewed,Lower,-0.373134328,Medium
Sc_8_F_8d,f32,1301.3,0,Ka,Secured,Positive Skewed,Lower,0,Medium
Sc_7_F_10,f33,0,0,F-2,Secured,Trapezoid,Upper,0.906040268,Medium
Sc_7_F_10,f33,119.2,108,Zo2,Secured,Trapezoid,Upper,0.031531532,Medium
Sc_7_F_10,f33,296.8,113.6,Zo8,Secured,Trapezoid,Upper,-0.012271973,Medium
Sc_7_F_10,f33,899.8,106.2,Gu,Assumed,Trapezoid,Upper,-0.071556351,Medium
Sc_7_F_10,f33,1067.5,94.2,Ma,Assumed,Trapezoid,Lower,0.166147456,Medium
Sc_7_F_10,f33,1163.8,110.2,Hu,Assumed,Trapezoid,Mid,-0.40872772,Medium
Sc_7_F_10,f33,1326.5,43.7,Ka,Assumed,Trapezoid,Lower,0.233968804,Medium
Sc_7_F_10,f33,1441.9,70.7,Er,Assumed,Trapezoid,Lower,-0.232059021,Medium
Sc_7_F_10,f33,1591,36.1,Pr,Assumed,Trapezoid,Lower,-0.116782007,Medium
Sc_7_F_10,f33,1706.6,22.6,Di,Assumed,Trapezoid,Lower,-0.268727705,Medium
Sc_7_F_10,f33,1790.7,0,So,Assumed,Trapezoid,Lower,0,Medium
Sc_7_F_14,f34,0,0,Zo8,Secured,Triangle,Upper,1.242798354,Small
Sc_7_F_14,f34,24.3,30.2,Gu,Secured,Triangle,Mid,-0.163779528,Small
Sc_7_F_14,f34,151.3,9.4,Ma,Secured,Triangle,Mid,-0.022486772,Small
Sc_7_F_14,f34,226.9,7.7,Hu,Secured,Triangle,Lower,0.030431706,Small
Sc_7_F_14,f34,368.2,12,Ka,Secured,Triangle,Lower,-0.177777778,Small
Sc_7_F_14,f34,435.7,0,Er,Secured,Triangle,Lower,0,Small
Sc_7_F_16,f35,0,0,F-2,Proven,Overlap,Upper,0.239356179,Medium
Sc_7_F_16,f35,192.6,46.1,Zo2,Proven,Overlap,Upper,0.016535759,Medium
Sc_7_F_16,f35,434.5,50.1,Zo8,Proven,Overlap,Upper,-0.128457283,Medium
Sc_7_F_16,f35,759.9,8.3,Gu,Secured,Overlap,Upper,0.050113895,Medium
Sc_7_F_16,f35,891.6,14.9,Ma,Proven,Overlap,Mid,0.049382716,Medium
Sc_7_F_16,f35,996.9,20.1,Hu,Secured,Overlap,Lower,-0.026525199,Medium
Sc_7_F_16,f35,1336.2,11.1,Ka,Proven,Overlap,Lower,0.035294118,Medium
Sc_7_F_16,f35,1472.2,15.9,Er,Proven,Overlap,Lower,-0.119369369,Medium
Sc_7_F_16,f35,1605.4,0,Pr,Proven,Overlap,Lower,0,Medium
Sc_7_F_7,f36,0,0,F-2,Proven,Overlap,Upper,0.358024691,Medium
Sc_7_F_7,f36,56.7,20.3,Zo2,Proven,Overlap,Upper,0.21686747,Medium
Sc_7_F_7,f36,239.3,59.9,Zo8,Secured,Overlap,Upper,-0.079011149,Medium
Sc_7_F_7,f36,445.6,43.6,Gu,Proven,Overlap,Mid,-0.173249551,Medium
Sc_7_F_7,f36,557,24.3,Ma,Proven,Overlap,Mid,-0.059479554,Medium
Sc_7_F_7,f36,664.6,17.9,Hu,Secured,Overlap,Lower,0.424794895,Medium
Sc_7_F_7,f36,774.3,64.5,Ka,Secured,Overlap,Lower,-0.127694317,Medium
Sc_7_F_7,f36,1080.5,25.4,Er,Assumed,Overlap,Lower,0.078471864,Medium
Sc_7_F_7,f36,1274.2,40.6,Pr,Assumed,Overlap,Lower,-0.415132924,Medium
Sc_7_F_7,f36,1372,0,Di,Assumed,Overlap,Lower,0,Medium
Sc_6_F_10,f37,0,0,F-2,Secured,Triangle,Upper,0.103467406,Medium
Sc_6_F_10,f37,360.5,37.3,Zo2,Secured,Triangle,Mid,-0.029362416,Medium
Sc_6_F_10,f37,598.9,30.3,Zo8,Secured,Triangle,Mid,-0.038702703,Medium
Sc_6_F_10,f37,1061.4,12.4,Gu,Secured,Triangle,Lower,-0.020050125,Medium
Sc_6_F_10,f37,1221,9.2,Ma,Secured,Triangle,Lower,-0.117197452,Medium
Sc_6_F_10,f37,1299.5,0,Hu,Secured,Triangle,Lower,0,Medium
Sc_6_F_23,f38,0,0,Zo2,Proven,Triangle,Upper,4.903921569,Medium
Sc_6_F_23,f38,51,250.1,Zo8,Proven,Triangle,Mid,-0.203311376,Medium
Sc_6_F_23,f38,612.7,135.9,La,Proven,Triangle,Mid,-0.145135566,Medium
Sc_6_F_23,f38,926.2,90.4,Gu,Proven,Triangle,Mid,-0.23993808,Medium
Sc_6_F_23,f38,1120,43.9,Ma,Secured,Triangle,Mid,0.802484472,Medium
Sc_6_F_23,f38,1200.5,108.5,Hu,Assumed,Triangle,Lower,-0.284926471,Medium
Sc_6_F_23,f38,1581.3,0,Ka,Assumed,Triangle,Lower,0,Medium
Sc_12_F_3,f39,0,0,Hu,Proven,Positive Skewed,Upper,5.074418605,Medium
